1,12,5,58
2,9,7,42
3,11,6,47
4,9,3,46
5,13,4,40
6,4,8,34
7,10,6,36
8,10,5,46
9,6,1,45
10,10,6,44
11,18,3,40
12,6,3,33
13,11,2,50
14,7,5,42
15,9,6,42
16,14,3,38
17,11,2,33
18,5,3,37
19,9,5,41
20,8,2,39
21,8,5,33
22,6,3,33
23,3,3,52
24,13,5,29
25,13,3,37
26,9,3,27
27,10,4,39
28,12,2,36
29,7,3,39
30,13,7,35
31,8,1,40
32,8,3,42
33,6,0,42
34,9,2,31
35,7,7,27
36,9,2,36
37,12,4,42
38,7,4,36
39,11,8,34
40,1,5,42
41,7,3,24
42,9,4,29
43,2,2,28
44,7,5,28
45,7,3,42
46,7,2,29
47,9,5,30
48,6,1,32
49,5,0,36
50,7,3,34
51,5,2,40
52,5,4,41
53,6,3,31
54,4,5,35
55,6,4,40
