9,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923099.8459183674,6.827832213334692E7,3.5932615668682976E10,9,2,3,5,27,11,6,5
10,0.001,0.003,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923180.7159183674,5.766567129260601E7,3.594638224952373E10,4,6,5,1,22,7,10,9
11,0.001,0.002,0.07086614173228346,0.1,0.8,0.8,0,0,0,0,0,923222.4309183673,5.240341996592413E7,-8000000000000000,7,2,2,2,21,6,4,4
0,0.003,0.008,0.15,0.15,0.5,0.5,29,-0.025,-0.025,0,0.2,922355.7809183671,1.5824234773753515E8,3.581363310807878E10,22,26,32,28,48,53,96,123
1,0.003,0.007,0.125,0.125,0.5,0.7,1,0,0,0,0.1,922066.590918367,1.542505316110966E8,3.5806346514205215E10,16,16,22,34,47,43,72,86
2,0.002,0.006,0.125,0.125,0.5,0.8,33,-0.025,-0.025,0.2,0,922390.2109183671,1.410134516114064E8,3.583220477420492E10,15,13,7,17,47,42,35,59
3,0.002,0.005,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922609.8259183671,1.3399231032003629E8,3.584779090049628E10,22,12,13,13,30,33,38,44
4,0.002,0.005,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922768.5909183671,1.0908898850290146E8,3.5878886057313416E10,11,8,7,6,33,22,24,12
5,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922910.6859183671,9.96871699860268E7,3.589382958083029E10,15,2,4,5,18,16,14,8
6,0.001,0.004,0.1,0.1,0.7,0.8,1,0,0,0,0.1,922927.4159183672,9.731723652349754E7,3.589685198429282E10,11,5,1,4,43,5,4,2
7,0.001,0.003,0.1,0.1,0.7,0.8,3,0,0,0.1,0,922983.6109183672,8.100867600097893E7,3.591535214981534E10,12,3,4,3,28,12,10,12
8,0.001,0.003,0.08426966292134831,0.1,0.8,0.8,1,0,0,0,0.1,923091.2759183673,7.14949047760267E7,-8000000000000000,9,2,2,1,29,12,9,14
9,0.001,0.003,0.07142857142857142,0.1,0.8,0.8,12,0,-0.025,0.1,0,923147.4509183672,6.051393245863127E7,-8000000000000000,6,2,3,1,18,11,14,12
10,0.001,0.002,0.1,0.1,0.8,0.8,1,0,0,0,0.1,923205.4709183674,5.353846193637968E7,3.5951474903879944E10,4,3,1,2,17,13,9,7
11,0.001,0.002,0.08108108108108109,0.1,0.8,0.8,0,0,0,0,0,923256.8559183674,4.934343251928978E7,-8000000000000000,6,3,3,1,16,8,8,7
0,0.003,0.008,0.15,0.15,0.5,0.5,29,-0.025,-0.025,0,0.2,922355.7809183671,1.5824234773753548E8,3.581363310807878E10,22,26,32,28,48,53,96,123
1,0.003,0.007,0.125,0.125,0.5,0.7,1,0,0,0,0.1,922077.7809183671,1.5251965017901447E8,3.58085138056373E10,21,12,21,30,46,51,80,98
2,0.002,0.006,0.125,0.125,0.5,0.8,33,-0.025,-0.025,0.2,0,922328.0459183671,1.472017084623128E8,3.582359208235401E10,16,9,16,13,47,29,35,44
3,0.002,0.005,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922609.8459183672,1.2740982589698452E8,3.5854374164919334E10,23,8,12,15,41,23,41,35
4,0.002,0.004,0.1,0.1,0.7,0.8,18,-0.025,0,0,0,922782.9909183672,1.1150637402402623E8,3.58770302717923E10,17,4,9,2,37,10,12,10
