1,9,6,51
2,10,3,41
3,5,2,39
4,4,4,38
5,3,7,25
6,8,5,28
7,4,7,33
8,8,3,27
9,8,1,21
10,5,6,31
11,7,4,27
12,8,2,22
13,8,3,17
14,3,2,32
15,3,3,17
16,4,3,15
17,2,3,16
18,1,4,10
19,1,4,14
20,1,3,26
21,3,4,11
22,5,1,8
23,4,2,15
24,6,3,11
25,6,1,19
26,2,4,7
27,5,0,10
28,4,1,7
29,2,4,10
30,4,5,12
31,1,0,11
32,6,2,13
33,2,0,9
34,5,0,9
35,2,1,11
36,4,1,4
37,0,1,9
38,0,0,10
39,1,1,10
40,1,0,10
41,1,2,8
42,4,0,5
43,3,0,10
44,0,1,16
45,3,0,4
46,3,1,5
47,5,0,8
48,0,0,7
49,1,0,3
50,4,0,4
51,3,1,4
52,5,0,14
53,2,0,11
54,1,1,4
55,4,0,2
1,14,8,44
2,12,4,39
3,6,4,34
4,13,8,39
5,5,1,40
6,5,3,23
7,7,3,32
8,7,4,37
9,8,8,42
10,6,6,49
11,4,5,37
12,10,3,16
13,6,1,28
14,13,3,33
15,11,2,35
16,8,3,21
17,2,0,21
18,9,5,23
19,7,1,8
20,4,2,21
21,5,2,18
22,4,1,21
23,3,2,15
24,4,2,13
25,4,2,17
26,0,1,11
27,2,2,11
28,2,2,10
29,2,0,10
30,4,2,9
31,5,1,10
32,2,3,9
33,1,0,9
34,3,5,4
35,1,0,5
36,3,0,11
37,2,2,11
38,5,0,9
39,3,1,9
40,2,0,6
41,2,0,8
42,3,1,6
43,1,1,7
44,0,1,8
45,4,1,8
46,0,0,7
47,0,1,4
48,2,0,5
49,3,0,7
50,2,0,4
51,1,0,4
52,3,0,11
53,5,0,3
54,1,0,2
55,0,0,7
1,11,5,45
2,9,6,45
3,7,7,26
4,8,0,25
5,9,4,41
6,9,6,34
7,7,4,23
8,7,7,30
9,5,3,31
10,4,6,24
11,9,2,19
12,7,3,26
13,6,0,13
14,3,2,17
15,1,4,19
16,5,3,24
17,7,2,12
18,4,2,16
19,3,4,14
20,3,3,14
21,5,2,21
22,6,2,10
23,3,3,12
24,5,1,17
25,1,4,14
26,4,0,16
27,3,2,14
28,1,2,11
29,5,1,11
30,6,1,14
31,1,4,15
32,6,2,15
33,3,1,24
34,4,2,16
35,2,2,19
36,2,1,7
37,6,1,13
38,4,1,11
39,0,1,20
40,4,0,22
41,4,1,12
42,0,1,12
43,2,0,8
44,0,1,4
45,3,3,13
46,3,0,13
47,4,0,14
48,2,1,6
49,3,2,14
50,2,1,9
51,2,0,6
52,5,0,10
53,0,1,9
54,4,0,8
55,1,0,9
1,6,5,41
2,5,3,45
3,6,2,27
4,9,5,33
5,6,5,34
6,8,4,33
7,8,2,36
8,5,1,29
9,5,3,28
10,5,3,26
11,1,3,29
12,8,2,19
13,7,1,17
14,3,3,27
15,3,0,19
16,3,2,16
17,1,1,11
18,6,1,13
19,6,1,12
20,3,2,10
21,2,1,11
22,4,2,11
23,7,1,8
24,4,0,12
25,5,1,12
26,3,1,15
27,1,1,10
28,2,2,16
29,1,0,10
30,3,0,11
31,3,0,13
32,4,2,16
33,1,0,14
34,3,0,18
35,3,0,10
36,2,0,2
37,2,1,12
38,5,0,7
39,2,0,10
40,1,1,7
41,6,0,12
42,2,0,6
43,1,0,7
44,3,0,6
45,1,0,9
46,3,0,10
47,3,1,6
48,0,1,8
49,2,0,7
50,3,2,8
51,1,0,9
52,1,0,8
53,3,0,5
54,3,0,13
55,1,1,8
1,16,4,43
2,10,9,42
3,7,3,29
4,8,8,35
5,6,0,35
6,3,3,35
7,6,4,26
8,3,2,39
9,5,3,33
10,7,1,30
11,6,4,12
12,6,3,21
13,3,1,20
14,4,2,20
15,3,1,17
16,9,1,18
17,2,2,23
18,3,3,12
19,5,2,17
20,6,1,32
21,4,1,22
22,7,0,12
23,7,1,21
24,5,1,18
25,2,2,15
26,5,2,19
27,2,3,17
28,2,1,15
29,5,0,11
30,3,3,13
31,2,0,11
32,7,2,11
33,1,1,15
34,3,0,9
35,1,0,16
36,1,1,13
37,3,2,13
38,5,1,12
39,1,0,14
40,3,1,15
41,3,0,5
42,2,1,15
43,3,3,12
44,1,0,11
45,2,0,8
46,4,0,11
47,2,1,13
48,2,0,11
49,2,0,9
50,0,0,8
51,2,1,15
52,2,3,5
53,2,0,4
54,3,0,8
55,4,1,6
1,10,4,53
2,7,6,34
3,5,6,44
4,4,5,30
5,10,2,28
6,2,1,37
7,8,2,27
8,8,4,33
9,14,5,24
10,8,1,36
11,2,1,29
12,6,1,22
13,3,1,18
14,2,1,22
15,6,2,25
16,3,0,20
17,3,0,25
18,6,1,19
19,2,2,23
20,3,0,15
21,2,2,7
22,4,0,21
23,1,1,20
24,3,0,17
25,2,1,21
26,3,0,15
27,4,0,16
28,5,1,7
29,1,0,10
30,1,1,20
31,1,1,9
32,0,1,12
33,0,1,18
34,0,1,11
35,4,2,11
36,1,0,7
37,0,2,7
38,1,0,12
39,0,0,10
40,4,0,10
41,1,1,8
42,1,0,10
43,0,0,4
44,3,1,11
45,3,0,8
46,1,0,11
47,2,0,6
48,2,0,6
49,3,1,5
50,1,0,11
51,2,0,9
52,2,0,6
53,1,0,10
54,3,1,7
55,1,0,6
